Features_Models,dcg,ndcg,spearman_rank,kendalltau,ml_mse,ml_mae,ml_accuracy,ml_f1,ml_recall,ml_precision,ranking_accuracy
ari,23.722347026601014,0.9927569508940477,0.9849027960416709,0.9731033893294857,172.60119707266074,10.771447987454259,,,,,0.8817373103087389
avg_fasttext-wiki-news-subwords-300_class_logistic_reg,22.432008658551286,0.9389641536534825,0.8284120439829873,0.7422552424271276,9.964140094093047,2.217354939884997,0.34929430214323054,0.18869649122793858,0.34929430214323054,0.19560721453587987,0.9973835688121402
avg_fasttext-wiki-news-subwords-300_class_svm,23.321590709198446,0.9761607097810469,0.9392758041801936,0.8923007904666417,3.420595922634605,1.1144798745426032,0.4713016204913748,0.36678702743994884,0.4713016204913748,0.3583140226960179,0.9900575614861329
avg_fasttext-wiki-news-subwords-300_linear_reg,23.87749022924019,0.9993551874623049,0.9969769669656641,0.9941306106724629,1.7655077612028351,1.0584469788276976,,,,,0.9717425431711146
avg_fasttext-wiki-news-subwords-300_ordinal_logistic_reg,23.17934570216041,0.9704010286283059,0.9335005137465343,0.8857533810386145,4.448823836905384,1.3142707788813381,0.4429691583899634,0.3374249034487927,0.4429691583899634,0.3043221308456284,0.9931972789115646
avg_glove-wiki-gigaword-300_class_logistic_reg,23.061720615714748,0.9652114051345362,0.9060408384713248,0.8502735684247736,5.665656037637219,1.5065342394145322,0.41630946157867227,0.3464019487726677,0.41630946157867227,0.3700256940748719,0.9869178440607012
avg_glove-wiki-gigaword-300_class_svm,22.63295096449287,0.9471570927473179,0.86564840948865,0.7959918799818048,8.500052273915315,1.9771040250914793,0.3635128071092525,0.25079007914422524,0.3635128071092525,0.24576184347970273,0.9811616954474097
avg_glove-wiki-gigaword-300_linear_reg,23.878283728454942,0.9993756544639906,0.9883997584937352,0.9778945800386001,2.3104704805712757,1.2123548015766779,,,,,0.8969126111983254
avg_glove-wiki-gigaword-300_ordinal_logistic_reg,23.28073527894744,0.9745987769366992,0.940470319004446,0.8984681995825287,4.3062205959226345,1.3019341348667015,0.4233141662310507,0.35506676705616835,0.4233141662310507,0.35100397172002046,0.9926739926739927
avg_word2vec-google-news-300_class_logistic_reg,22.89796634514093,0.9584314735307156,0.8938151019930349,0.8273022142614322,6.154417145844223,1.6205959226346054,0.40763199163617353,0.2937900100221267,0.40763199163617353,0.3806790139100082,0.9979068550497122
avg_word2vec-google-news-300_class_svm,23.527908077664453,0.9848000667727527,0.9634735456257506,0.9320390266615247,2.2061683220073185,0.8248823836905385,0.5435441714584422,0.5043949353043519,0.5435441714584422,0.5269161412955888,0.9926739926739927
avg_word2vec-google-news-300_linear_reg,23.886479964400987,0.999733919619362,0.9958866694884995,0.9919259936511654,1.7340600806295865,1.0559470581583386,,,,,0.9607535321821036
avg_word2vec-google-news-300_ordinal_logistic_reg,23.420074000830198,0.9804375402730502,0.9635016588764604,0.9320851711755905,2.781913225300575,0.9533716675378986,0.5188708834291689,0.458509274334224,0.5188708834291689,0.45816544367744233,0.9942438513867086
bertRank,23.855816430932524,0.9984544208426318,0.9921096122556605,0.9852133339280449,,,,,,,0.9309262166405023
bert_classification,23.861759672160552,0.9986615791903307,0.9902910402335592,0.9811414500939835,0.37564035546262414,0.28907475169890223,0.738003136434919,0.7357846581857602,0.738003136434919,0.7349066445886354,0.9827315541601256
bert_regression,23.885977376701945,0.9997070762363952,0.9967974606081472,0.9938164745468083,0.4335565927029541,0.4601074246418021,,,,,0.9701726844583988
f_ease,23.400682121566447,0.979503206202992,0.8721333353543974,0.8811157109652541,2978.8920386408786,49.94078619968636,,,,,0.0005232862375719519
f_grade,23.72208280788305,0.9927561276229262,0.9848667746106012,0.9731428833003892,72.21358703606901,6.407861996863564,,,,,0.8827838827838828
fasttext-wiki-news-subwords-300_han_only_cat,23.674284634232144,0.9908108394084764,0.9849938948890935,0.9716727929455443,1.2917929952953475,0.5127025614218504,0.6859383167799268,0.6735435806760777,0.6859383167799268,0.669978816698491,0.9712192569335426
fasttext-wiki-news-subwords-300_han_svm,23.6596324852066,0.9902140299461687,0.9849353967701001,0.9712985982663318,1.366649242028228,0.5306847882906429,0.6854155776267642,0.6778541148331383,0.6854155776267642,0.6824091851913148,0.9743589743589743
fasttext-wiki-news-subwords-300_han_svm_reg,22.52626252826429,0.9426756010502086,0.7543660387307658,0.688262925202106,9.526084683742813,2.1186617877679037,0.3157344485101934,0.24425899059450235,0.3157344485101934,0.25827886642979037,0.7346938775510204
fasttext-wiki-news-subwords-300_pairwiseSVM,23.85324422404606,0.9983336037723245,0.9949003549623181,0.9907148786243175,,,,,,,0.9570905285190999
glove-wiki-gigaword-300_han_cat,23.696850726483607,0.9917966812570236,0.9868434453860967,0.9750430810806059,1.1923680083638264,0.47015159435441717,0.7163617354939885,0.704838025319164,0.7163617354939885,0.6979291813289938,0.978021978021978
glove-wiki-gigaword-300_han_only_cat,23.692793751624237,0.9916043789463268,0.9879960722872885,0.9766828325354392,1.2013591217982227,0.461996863565081,0.7277574490329326,0.7181827343795626,0.7277574490329326,0.7154925268660537,0.9837781266352695
glove-wiki-gigaword-300_han_svm,23.699730821571613,0.9918685220328447,0.983767414078007,0.9693758691549492,1.2567694720334552,0.5079979090433874,0.6848928384736017,0.6719593871221259,0.6848928384736017,0.662699100168377,0.9748822605965463
