Features_Models,dcg,ndcg,spearman_rank,kendalltau,ml_mse,ml_mae,ml_accuracy,ml_f1,ml_recall,ml_precision,ranking_accuracy
bert_regression,2.5949619588435686,0.9863288654214111,0.9444444444444444,0.9294532627865962,0.26043804920451985,0.37625249871252986,,,,,0.9047619047619048
f_ease,2.4917070604403,0.947082322155442,0.5892382296496531,0.5016745850842738,3104.5514017636683,52.64797178130512,,,,,0.0
f_grade,2.5092215995181486,0.9537394892858349,0.5851750064092768,0.4644593813551139,201.8937037037037,12.772663139329806,,,,,0.2275132275132275
fasttext-wiki-news-subwords-300_han_only_cat,2.496483505243791,0.9488978190523113,0.820048122372069,0.7891357004140467,0.43209876543209874,0.3509700176366843,0.689594356261023,0.6921851808714921,0.689594356261023,0.7016388049040617,0.8994708994708994
fasttext-wiki-news-subwords-300_han_svm,2.5213647855158983,0.9583550385916517,0.8762311945492115,0.8412265921281836,0.3985890652557319,0.3527336860670194,0.6701940035273368,0.675060298403707,0.6701940035273368,0.68544061302682,0.9576719576719577
fasttext-wiki-news-subwords-300_han_svm_reg,2.1804061736678304,0.8287587955200834,0.23149523958646134,0.21577987958655354,1.3315696649029982,0.8659611992945326,0.36684303350970016,0.35603449840898405,0.36684303350970016,0.361542197524171,0.7301587301587301
fasttext-wiki-news-subwords-300_pairwiseSVM,2.608254734939559,0.9913813667578478,0.9470899470899471,0.9400352733686068,1.8077601410934745,1.0246913580246915,0.3421516754850088,0.3421516754850088,0.3421516754850088,0.3421516754850088,0.9312169312169312
glove-wiki-gigaword-300_han_cat,2.479885107917639,0.9425888716911667,0.7657971914135879,0.757827036011358,0.4091710758377425,0.25044091710758376,0.8289241622574955,0.8292534085651911,0.8289241622574955,0.8306390764292318,0.8042328042328042
glove-wiki-gigaword-300_han_only_cat,2.493805371164049,0.9478798769821721,0.7949373030898219,0.7842435799730317,0.36684303350970016,0.23633156966490299,0.8289241622574955,0.8284939198109931,0.8289241622574955,0.8289484477255301,0.8412698412698413
glove-wiki-gigaword-300_han_svm,2.5270322830971548,0.9605092190951647,0.879091749859219,0.8509249713621011,0.3439153439153439,0.2980599647266314,0.7248677248677249,0.7259705993215227,0.7248677248677249,0.7274649726130639,0.9576719576719577
